"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",53.560001,54.080002,53.009998,53.48,4020100,49.507168
"2015-01-05",53.189999,53.490002,52.599998,52.650002,5599300,48.738819
"2015-01-06",52.889999,53.02,51.720001,51.779999,5468400,47.933441
"2015-01-07",52.009998,52.869999,51.790001,52.709999,4577100,48.794373
"2015-01-08",53.130001,53.950001,53.009998,53.57,6295200,49.590481
"2015-01-09",53.48,53.98,53.09,53.599998,3913700,49.618256
"2015-01-12",53.740002,53.75,52.900002,53.119999,4282500,49.173916
"2015-01-13",53.57,54.279999,52.459999,52.790001,5013900,48.868423
"2015-01-14",52.549999,53.310001,52.240002,52.709999,5191400,48.794373
"2015-01-15",52.91,53.240002,52.200001,52.389999,5796300,48.498138
"2015-01-16",52.48,53.419998,52.119999,53.290001,4988700,49.331276
"2015-01-20",53.490002,54.150002,53.189999,53.810001,6544700,49.812653
"2015-01-21",53.299999,54.470001,53.200001,54.279999,5468900,50.247734
"2015-01-22",54.32,54.98,53.34,54.970001,5484200,50.886478
"2015-01-23",54.959999,55.290001,54.540001,55.060001,4841300,50.969791
"2015-01-26",54.700001,55.299999,54.360001,55.049999,6137000,50.960533
"2015-01-27",54.529999,55.459999,54.209999,54.830002,8532600,50.756874
"2015-01-28",54.75,55.25,53.849998,53.939999,7393500,50.24456
"2015-01-29",53.720001,54.860001,53.41,54.669998,5044900,50.924534
"2015-01-30",53.98,54.599998,53.349998,53.450001,12515800,49.788132
"2015-02-02",53.5,53.759998,52.41,53.490002,8385600,49.82539
"2015-02-03",53.709999,54.48,53.610001,54.439999,5891600,50.710304
"2015-02-04",54.009998,54.900002,54.009998,54.619999,7962500,50.877972
"2015-02-05",54.639999,55.34,54.48,55.310001,5060000,51.520699
"2015-02-06",55.290001,55.450001,54.27,54.360001,7579500,50.635784
"2015-02-09",54.310001,54.759998,54.029999,54.27,5146400,50.55196
"2015-02-10",54.75,55.869999,54.57,55.82,5654400,51.995758
"2015-02-11",55.639999,56.23,55.5,56,4956100,52.163429
"2015-02-12",56.490002,57.5,56.299999,57.439999,7069500,53.504768
"2015-02-13",57.599998,57.98,57.209999,57.970001,5330900,53.998459
"2015-02-17",57.669998,58.459999,57.549999,58.200001,7962600,54.212704
"2015-02-18",57.799999,58.139999,57.599998,57.939999,3264900,53.970512
"2015-02-19",57.889999,58.189999,57.740002,58.040001,2422300,54.06366
"2015-02-20",58.040001,58.540001,57.59,58.52,3630300,54.510777
"2015-02-23",58.459999,58.490002,57.91,58.27,3053400,54.277901
"2015-02-24",58.09,59.009998,58,58.959999,4426900,54.920631
"2015-02-25",58.919998,59.290001,58.75,59.099998,3921100,55.051044
"2015-02-26",59.27,59.490002,58.91,59.419998,5274000,55.349113
"2015-02-27",59.490002,59.490002,58.720001,58.799999,6494900,54.771599
"2015-03-02",59.07,59.990002,58.959999,59.939999,4572500,55.8335
"2015-03-03",59.799999,59.810001,58.5,58.57,6088200,54.557354
"2015-03-04",58.52,58.669998,57.860001,58.32,4461300,54.324482
"2015-03-05",58.299999,58.790001,58.02,58.34,3685800,54.343121
"2015-03-06",58.200001,58.310001,57.450001,57.639999,4476900,53.691071
"2015-03-09",57.759998,58.630001,57.610001,58.419998,4034000,54.417622
"2015-03-10",57.849998,58.169998,57.07,57.099998,5567300,53.188061
"2015-03-11",57.43,57.77,57.119999,57.169998,3151500,53.253265
"2015-03-12",56.5,57.34,56.349998,57.220001,3707900,53.299843
"2015-03-13",57.389999,57.5,56.610001,57.119999,4805400,53.206692
"2015-03-16",57.490002,58.439999,57.380001,58.330002,5162700,54.333797
"2015-03-17",58.189999,58.23,57.48,57.970001,3231400,53.998459
"2015-03-18",58.169998,58.689999,56.93,58.299999,6198700,54.305851
"2015-03-19",58.349998,58.73,58.09,58.529999,3411400,54.520092
"2015-03-20",58.900002,59.529999,58.73,59.279999,9150800,55.218716
"2015-03-23",59.18,59.259998,58.630001,58.66,3731400,54.64119
"2015-03-24",58.790001,59.02,58.41,58.439999,3665700,54.436268
"2015-03-25",58.41,58.599998,55.73,55.73,11204000,51.91193
"2015-03-26",55.09,56.25,54.619999,55.799999,6830800,51.977127
"2015-03-27",55.77,57.18,55.560001,56.759998,5052000,52.871357
"2015-03-30",57.099998,58.119999,56.84,58,5336100,54.026405
"2015-03-31",57.740002,57.91,57.080002,57.189999,4905300,53.271904
"2015-04-01",57.049999,57.23,56.23,56.540001,5282400,52.666431
"2015-04-02",56.68,57.200001,56.419998,56.720001,3545900,52.834103
"2015-04-06",56.189999,57.150002,55.860001,56.810001,3120500,52.917931
"2015-04-07",56.689999,57.43,56.57,56.939999,3259600,53.039028
"2015-04-08",56.799999,57.290001,56.560001,56.970001,4142200,53.066971
"2015-04-09",56.720001,57.84,56.529999,57.779999,4362200,53.821476
"2015-04-10",57.830002,57.849998,57.540001,57.700001,3410800,53.746956
"2015-04-13",57.82,57.990002,57.189999,57.209999,3004400,53.290524
"2015-04-14",57.150002,57.41,56.580002,56.75,3875100,52.862045
"2015-04-15",57.110001,58.689999,56.990002,58.5,6654600,54.492157
"2015-04-16",58.139999,58.580002,58.080002,58.41,4058800,54.408318
"2015-04-17",57.84,58.200001,57.200001,57.330002,5231200,53.402309
"2015-04-20",57.599998,58.529999,57.599998,58.169998,3115200,54.184757
"2015-04-21",58.869999,58.869999,58.029999,58.16,2853700,54.175442
"2015-04-22",58.540001,58.860001,57.970001,58.73,4473500,54.706402
"2015-04-23",54.299999,54.93,53.93,54.720001,22987500,50.971123
"2015-04-24",54.68,54.830002,54.130001,54.73,10533600,50.980427
"2015-04-27",55.32,56.299999,55.09,55.560001,8397300,51.753567
"2015-04-28",55.310001,55.52,54.639999,55.09,6729300,51.631733
"2015-04-29",54.669998,55.32,54.369999,55.02,5276300,51.566128
"2015-04-30",54.91,55.150002,53.919998,54.209999,6756900,50.806973
"2015-05-01",54.709999,55.43,54.419998,55.310001,5726700,51.837929
"2015-05-04",55.299999,55.610001,55.009998,55.299999,4060500,51.828548
"2015-05-05",54.970001,55.029999,53.849998,54.009998,7970100,50.619534
"2015-05-06",54.130001,54.549999,53.34,53.700001,7737300,50.328987
"2015-05-07",53.970001,54.400002,53.82,54.060001,5846600,50.666389
"2015-05-08",54.5,55.169998,54.34,54.700001,4814600,51.266212
"2015-05-11",54.619999,54.75,54.310001,54.439999,4204100,51.022533
"2015-05-12",54.200001,54.59,53.75,54.169998,4315500,50.769485
"2015-05-13",54.16,54.959999,54.130001,54.689999,4332600,51.25684
"2015-05-14",55.119999,55.860001,55,55.610001,4109300,52.119087
"2015-05-15",55.900002,56,55.27,55.610001,4165300,52.119087
"2015-05-18",55.509998,55.900002,55.279999,55.790001,3856200,52.287788
"2015-05-19",55.889999,56.130001,55.57,55.779999,4848500,52.278408
"2015-05-20",55.810001,56.27,55.560001,55.630001,4179300,52.137833
"2015-05-21",55.509998,56,55.259998,55.5,4260800,52.015987
"2015-05-22",55.23,55.599998,55.23,55.369999,5419700,51.894146
"2015-05-26",55.25,55.25,54.200001,54.560001,5312000,51.135006
"2015-05-27",54.709999,56.23,54.59,55.970001,7278200,52.45649
"2015-05-28",55.959999,56.400002,55.720001,55.91,6851200,52.400253
"2015-05-29",56.02,56.34,55.57,55.919998,5904300,52.409626
