Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,29.34,29.99,29.280001,29.870001,29.870001,3441900
2017-01-04,30.15,30.9,30.0,30.540001,30.540001,3838900
2017-01-05,30.549999,30.709999,29.9,30.290001,30.290001,3248600
2017-01-06,30.49,30.66,30.24,30.469999,30.469999,2663500
2017-01-09,30.57,30.799999,30.440001,30.469999,30.469999,1943400
2017-01-10,30.709999,31.059999,30.549999,30.709999,30.709999,2149700
2017-01-11,30.709999,30.75,30.190001,30.549999,30.549999,2532300
2017-01-12,30.34,30.59,30.01,30.379999,30.379999,3128400
2017-01-13,30.35,30.58,29.940001,30.08,30.08,3538800
2017-01-17,29.940001,30.42,29.93,30.139999,30.139999,3174100
2017-01-18,30.280001,30.32,29.16,29.35,29.35,5275500
2017-01-19,29.58,29.66,28.77,29.200001,29.200001,4362000
2017-01-20,29.09,29.25,28.700001,29.02,29.02,3452900
2017-01-23,28.940001,28.940001,28.290001,28.450001,28.450001,4404300
2017-01-24,28.440001,28.690001,28.389999,28.540001,28.540001,4094400
2017-01-25,28.77,29.43,28.73,29.299999,29.299999,3843200
2017-01-26,29.34,29.639999,29.049999,29.129999,29.129999,2681300
2017-01-27,29.129999,29.370001,28.809999,29.129999,29.129999,2410500
2017-01-30,29.059999,29.139999,28.74,28.940001,28.940001,5833000
2017-01-31,28.940001,28.940001,20.799999,21.49,21.49,54105500
2017-02-01,21.65,21.860001,21.1,21.440001,21.440001,17974300
2017-02-02,21.34,21.370001,20.5,20.65,20.65,14655200
2017-02-03,20.67,20.84,20.440001,20.700001,20.700001,7668600
2017-02-06,20.959999,20.98,20.51,20.6,20.6,7027700
2017-02-07,20.780001,20.889999,20.450001,20.469999,20.469999,9775200
2017-02-08,20.5,21.139999,20.5,21.08,21.08,6414600
2017-02-09,21.08,21.91,21.08,21.709999,21.709999,6848600
2017-02-10,22.18,22.200001,21.32,21.6,21.6,5047300
2017-02-13,21.74,21.93,21.26,21.32,21.32,4547600
2017-02-14,21.549999,21.77,21.309999,21.76,21.76,5218500
2017-02-15,21.469999,21.959999,21.379999,21.889999,21.889999,5644100
2017-02-16,21.969999,22.030001,21.5,21.639999,21.639999,4231600
2017-02-17,21.68,22.09,21.52,21.879999,21.879999,3334500
2017-02-21,22.0,22.07,21.75,21.780001,21.780001,2998300
2017-02-22,22.0,22.34,21.690001,21.870001,21.870001,4186000
2017-02-23,21.889999,22.049999,21.639999,21.67,21.67,3444000
2017-02-24,21.610001,21.93,21.41,21.809999,21.809999,3933100
2017-02-27,21.65,21.75,21.34,21.5,21.5,3904400
2017-02-28,21.450001,21.530001,20.5,20.620001,20.620001,7533900
2017-03-01,20.73,20.92,20.299999,20.6,20.6,6624600
2017-03-02,20.6,21.049999,20.51,20.93,20.93,4128000
2017-03-03,20.950001,21.030001,20.5,20.59,20.59,5196800
2017-03-06,20.59,20.620001,19.99,20.049999,20.049999,4557400
2017-03-07,19.950001,20.0,19.26,19.690001,19.690001,7305200
2017-03-08,19.75,19.76,19.110001,19.139999,19.139999,8608300
2017-03-09,19.120001,19.360001,18.799999,19.15,19.15,4796000
2017-03-10,19.32,19.719999,19.219999,19.26,19.26,4062700
2017-03-13,19.27,19.299999,19.0,19.049999,19.049999,3209100
2017-03-14,19.0,19.17,18.85,19.02,19.02,4246400
2017-03-15,19.02,19.559999,18.93,19.459999,19.459999,2876100
2017-03-16,19.440001,19.889999,19.32,19.82,19.82,3968400
2017-03-17,19.889999,19.940001,19.290001,19.379999,19.379999,5567300
2017-03-20,19.379999,19.59,19.23,19.59,19.59,2743100
2017-03-21,19.51,19.58,18.799999,18.99,18.99,3864400
2017-03-22,18.620001,19.129999,18.4,19.09,19.09,5893600
2017-03-23,19.16,19.25,18.860001,18.98,18.98,4454600
2017-03-24,19.620001,20.030001,19.43,19.66,19.66,8650200
2017-03-27,19.49,19.959999,19.4,19.860001,19.860001,3545500
