"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",38.119999,38.349998,37.52,38.02,1038900,35.654915
"2015-01-05",37.84,37.970001,36.889999,37.110001,1322500,34.801521
"2015-01-06",37.23,37.419998,36.32,36.400002,1958900,34.135689
"2015-01-07",36.66,36.860001,36.299999,36.599998,1254300,34.323246
"2015-01-08",36.880001,37.259998,36.700001,37.150002,1717300,34.839043
"2015-01-09",37.27,37.32,36.639999,36.939999,1016200,34.642097
"2015-01-12",37.09,37.110001,36.619999,36.970001,1081000,34.670231
"2015-01-13",37.23,37.610001,36.419998,36.82,1381100,34.529568
"2015-01-14",36.52,36.919998,36.380001,36.880001,773200,34.585831
"2015-01-15",37.040001,37.220001,36.880001,37.150002,888700,34.839043
"2015-01-16",37.130001,37.700001,37.119999,37.66,590500,35.317314
"2015-01-20",37.66,37.849998,37.240002,37.689999,593700,35.345451
"2015-01-21",37.700001,38.09,37.389999,38.049999,793600,35.683056
"2015-01-22",38.349998,38.490002,37.860001,38.490002,917100,36.095688
"2015-01-23",38.5,38.610001,37.759998,37.84,944800,35.486115
"2015-01-26",37.75,38.07,37.049999,38.07,1865900,35.701809
"2015-01-27",37.919998,38.349998,37.720001,38.080002,692100,35.711189
"2015-01-28",38.139999,38.419998,37.349998,37.450001,487400,35.120373
"2015-01-29",37.66,37.860001,37.110001,37.790001,870600,35.43922
"2015-01-30",37.689999,37.720001,36.959999,36.990002,1980600,34.688995
"2015-02-02",37.209999,37.610001,36.889999,37.52,917300,35.18602
"2015-02-03",37.560001,38.599998,37.48,38.57,1492700,36.1707
"2015-02-04",38.23,38.25,37.290001,37.470001,1154500,35.139126
"2015-02-05",37.84,37.91,36.650002,36.93,1460100,34.632721
"2015-02-06",36.84,36.889999,35.18,35.490002,1464400,33.282299
"2015-02-09",35.310001,35.689999,34.91,35.09,1093500,32.907181
"2015-02-10",35.139999,35.360001,34.650002,35.279999,1869400,33.085365
"2015-02-11",35.099998,35.240002,34.709999,34.84,1548100,32.672737
"2015-02-12",34.93,35.139999,34.650002,34.709999,1146500,32.550819
"2015-02-13",34.709999,34.77,34.299999,34.509998,1365800,32.363262
"2015-02-17",34.43,34.59,33.919998,34,1579700,31.884983
"2015-02-18",34,34.970001,33.98,34.84,1404800,32.672737
"2015-02-19",34.849998,35.07,34.68,34.709999,1081300,32.550819
"2015-02-20",34.66,34.880001,34.240002,34.75,863000,32.588333
"2015-02-23",34.75,34.919998,34.57,34.740002,683100,32.578957
"2015-02-24",34.740002,34.77,34.459999,34.580002,1137700,32.428909
"2015-02-25",34.52,34.630001,34.07,34.189999,892400,32.063164
"2015-02-26",34.040001,34.119999,33.639999,33.869999,851000,31.763071
"2015-02-27",33.849998,34.110001,33.709999,33.990002,979100,31.875614
"2015-03-02",33.73,33.790001,32.830002,33.09,1224200,31.031593
"2015-03-03",33.07,33.580002,33.040001,33.43,1220400,31.350445
"2015-03-04",33.290001,33.32,32.970001,33.169998,693700,31.106615
"2015-03-05",33.27,33.439999,33.07,33.259998,666900,31.191019
"2015-03-06",32.82,32.880001,32.369999,32.639999,1078200,30.609587
"2015-03-09",32.650002,32.779999,32.220001,32.23,807300,30.22509
"2015-03-10",32.110001,32.439999,31.92,32,707500,30.009403
"2015-03-11",32.07,32.209999,31.790001,31.860001,969200,29.878103
"2015-03-12",31.809999,32.349998,31.559999,32.130001,1106000,30.337946
"2015-03-13",32.110001,32.150002,31.540001,31.780001,820600,30.007467
"2015-03-16",31.85,32.529999,31.85,32.27,880500,30.470137
"2015-03-17",32.25,32.650002,32.130001,32.57,1185700,30.753403
"2015-03-18",32.490002,33.84,32.400002,33.599998,1185600,31.725954
"2015-03-19",33.450001,33.700001,32.880001,32.990002,1349000,31.149982
"2015-03-20",33.080002,33.91,33.080002,33.880001,2224900,31.990339
"2015-03-23",33.880001,33.900002,33.299999,33.48,737000,31.612644
"2015-03-24",33.34,33.439999,32.799999,33.060001,1479000,31.216076
"2015-03-25",33.169998,33.470001,32.779999,32.830002,742700,30.998907
"2015-03-26",32.799999,33.060001,32.360001,32.369999,907500,30.56456
"2015-03-27",32.490002,32.860001,32.470001,32.700001,817500,30.876154
"2015-03-30",32.860001,33.040001,32.66,32.709999,1221800,30.885593
"2015-03-31",32.610001,32.790001,32.380001,32.59,2571000,30.772291
"2015-04-01",32.509998,32.66,32.119999,32.509998,1980200,30.696749
"2015-04-02",32.59,33.32,32.529999,33.259998,1196800,31.404917
"2015-04-06",33.259998,33.810001,33.259998,33.810001,1482500,31.924242
"2015-04-07",33.779999,34.380001,33.759998,34,2040800,32.103642
"2015-04-08",34.02,34.209999,33.779999,34.119999,1771400,32.216949
"2015-04-09",34.080002,34.32,33.919998,34.290001,1343500,32.377472
"2015-04-10",34.41,34.869999,34.290001,34.77,1169200,32.8307
"2015-04-13",34.779999,35.040001,34.700001,34.700001,1111000,32.764603
"2015-04-14",34.830002,35.080002,34.639999,35.060001,930100,33.104527
"2015-04-15",35.200001,35.360001,34.98,35.169998,1545900,33.208393
"2015-04-16",35.119999,35.119999,34.59,34.799999,1140700,32.85902
