"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",112.050003,112.540001,109.739998,110.970001,628500,109.968178
"2015-01-05",110.419998,111.150002,107.760002,108.699997,801600,107.718658
"2015-01-06",108.529999,110.040001,108.059998,108.739998,1022200,107.758301
"2015-01-07",110.300003,112.029999,109.779999,111.989998,914500,110.978966
"2015-01-08",112.650002,113.470001,112.099998,113.139999,1006000,112.118584
"2015-01-09",113.330002,113.610001,112.269997,112.849998,747300,111.8312
"2015-01-12",113.480003,113.620003,106.120003,106.239998,1161900,105.280876
"2015-01-13",107.309998,107.879997,104.559998,106.25,1260500,105.290794
"2015-01-14",105.199997,105.199997,102.559998,104.309998,1172400,103.368301
"2015-01-15",104.370003,106.110001,103.370003,105.660004,846100,104.706116
"2015-01-16",105.309998,108.370003,105.290001,108.220001,975500,107.242996
"2015-01-20",108.510002,108.989998,106.150002,107.129997,938500,106.162819
"2015-01-21",106.529999,108.959999,106.010002,108.290001,666100,107.312363
"2015-01-22",108.660004,110.849998,107.690002,110.370003,628700,109.373581
"2015-01-23",110.18,110.93,106.400002,106.510002,1153700,105.548439
"2015-01-26",107.519997,107.93,105.290001,107.839996,1108000,106.866425
"2015-01-27",106.980003,108.019997,106.599998,106.839996,607000,105.87545
"2015-01-28",107.300003,107.389999,105.540001,105.68,829700,104.725937
"2015-01-29",106.169998,106.269997,103.389999,105.440002,883900,104.488106
"2015-01-30",104.589996,105.010002,102.349998,102.529999,591000,101.604378
"2015-02-02",102.860001,103.68,101.199997,103.139999,848200,102.20887
"2015-02-03",102.349998,105.660004,102.190002,104.860001,881100,103.913338
"2015-02-04",104.360001,106.199997,103.510002,105.230003,590900,104.279999
"2015-02-05",105.120003,106.309998,105.120003,105.82,429400,104.864662
"2015-02-06",106.25,106.739998,104.599998,104.989998,448300,104.042152
"2015-02-09",104.75,104.980003,103.290001,103.82,431100,102.882721
"2015-02-10",104.879997,106.360001,104.120003,106.080002,639200,105.122322
"2015-02-11",105.699997,106.68,105.209999,106.129997,371000,105.17186
"2015-02-12",106.389999,106.599998,103.459999,104.089996,963100,103.150269
"2015-02-13",103.809998,104.989998,102.860001,104.93,817900,103.982704
"2015-02-17",104.790001,106.790001,104.5,106.790001,401400,105.825897
"2015-02-18",106.989998,107.470001,105.940002,106.949997,300300,105.984467
"2015-02-19",106.900002,107.919998,106.599998,107.18,275100,106.212387
"2015-02-20",107.269997,108.330002,106.010002,107.870003,683900,106.896156
"2015-02-23",107.860001,108.839996,107.269997,108.389999,1024800,107.411461
"2015-02-24",108.389999,109.940002,108.050003,108.519997,657000,107.540298
"2015-02-25",108.519997,109.639999,107.660004,109.190002,413300,108.204239
"2015-02-26",109.019997,113.07,108.540001,112.489998,1113000,111.57663
"2015-02-27",112.489998,114.879997,112.300003,113.349998,892600,112.429649
"2015-03-02",113.349998,117.610001,112.870003,114.489998,874200,113.560394
"2015-03-03",113.879997,114.260002,111.849998,112.730003,572200,111.81469
"2015-03-04",112.440002,118.349998,111.730003,115.75,1411700,114.810165
"2015-03-05",115.760002,116.860001,113.550003,114.879997,634900,113.947227
"2015-03-06",114.459999,116.120003,113.800003,114.050003,549600,113.123962
"2015-03-09",114.230003,114.519997,113.019997,113.529999,601400,112.608192
"2015-03-10",112.43,114.110001,111.730003,112.980003,597200,112.062653
"2015-03-11",113.290001,115.080002,112.760002,113.919998,531100,112.995018
"2015-03-12",114.419998,115.239998,113.879997,114.480003,746300,113.550484
"2015-03-13",114.089996,115.080002,113.279999,114.080002,389700,113.153717
"2015-03-16",114.900002,116.43,114.739998,116.199997,668300,115.256508
"2015-03-17",115.970001,116.449997,115.059998,116.169998,641600,115.226753
"2015-03-18",116.18,117.68,115.629997,117.290001,783100,116.337662
"2015-03-19",117.239998,119.120003,116.989998,118.730003,546100,117.765968
"2015-03-20",119.489998,119.93,118.290001,118.760002,653100,117.795715
"2015-03-23",119.120003,121.75,119.120003,121.330002,610400,120.344872
"2015-03-24",121.010002,121.379997,119.230003,120,471600,119.02565
"2015-03-25",120.139999,121.949997,117.779999,117.980003,886900,117.022072
"2015-03-26",117.699997,118.25,116.330002,117.339996,617600,116.387253
"2015-03-27",117.410004,118.379997,117.410004,118.099998,503300,117.14109
"2015-03-30",119.089996,120.459999,119.089996,119.970001,500400,118.995903
"2015-03-31",119.199997,120.07,117.589996,117.709999,929700,116.75425
"2015-04-01",115.900002,116.629997,109.830002,112.959999,3473700,112.042816
"2015-04-02",112.860001,116.959999,112.400002,116.690002,1279600,115.742538
"2015-04-06",115.970001,119.269997,115.580002,118.110001,851200,117.151009
"2015-04-07",118.440002,119.900002,117.779999,117.919998,533500,116.962555
"2015-04-08",118.129997,119.870003,117.550003,118.980003,752600,118.013947
"2015-04-09",118.690002,119.699997,117.300003,118.699997,556300,117.736198
"2015-04-10",118.650002,119.150002,117.510002,118.440002,299500,117.478325
"2015-04-13",118.730003,119.720001,118.25,118.389999,377400,117.428719
"2015-04-14",118.029999,119.660004,116.93,119.150002,447000,118.182564
"2015-04-15",120.169998,122.050003,120.160004,121.089996,545100,120.106812
"2015-04-16",120.860001,121.239998,119.32,119.980003,420700,119.005821
"2015-04-17",119.199997,120.169998,118.629997,119.779999,467000,118.807434
"2015-04-20",120.019997,121.089996,119.290001,120.93,445900,119.948112
"2015-04-21",121.279999,121.800003,120.230003,120.949997,511100,119.967949
"2015-04-22",120.959999,121.410004,119.709999,121.07,508800,120.086975
"2015-04-23",121.230003,122.769997,120.410004,122.599998,649000,121.604546
"2015-04-24",122.709999,123.410004,122.150002,122.690002,384200,121.693802
"2015-04-27",123.129997,123.129997,120.029999,120.25,651500,119.273628
"2015-04-28",122.779999,123,117.239998,121.839996,1120000,120.8507
"2015-04-29",121.800003,122.07,118.639999,119.709999,668700,118.738022
"2015-04-30",119.510002,120.379997,116.660004,116.949997,1060800,116.000427
"2015-05-01",117.720001,118.169998,116.25,116.809998,835800,115.861557
"2015-05-04",117.25,119.830002,117.029999,119.379997,786000,118.410698
"2015-05-05",119.540001,119.940002,115.849998,116.269997,743500,115.325928
"2015-05-06",116.650002,116.779999,114.760002,115.370003,623500,114.433266
"2015-05-07",115.18,118.75,115.18,118.489998,957800,117.527924
"2015-05-08",119.57,120.790001,119.07,120.629997,680700,119.650536
"2015-05-11",120.589996,122.949997,120.239998,122.129997,724300,121.138359
"2015-05-12",121.25,121.68,119.150002,119.540001,497600,118.569405
"2015-05-13",120.120003,120.610001,119.230003,119.849998,605000,118.876877
