"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",148.179993,150.199997,145.009995,146.630005,169600,146.630005
"2015-01-05",145.179993,147.690002,143.169998,144.220001,174500,144.220001
"2015-01-06",144.429993,145.580002,139.929993,141.410004,174000,141.410004
"2015-01-07",142.190002,143.509995,140.949997,141.910004,157100,141.910004
"2015-01-08",143.529999,147.600006,143.5,146.119995,217500,146.119995
"2015-01-09",145.960007,146.979996,143.690002,144.649994,82800,144.649994
"2015-01-12",144.800003,145.669998,142.710007,144.729996,168800,144.729996
"2015-01-13",145.490005,149.470001,143.110001,145.300003,141400,145.300003
"2015-01-14",143.830002,146.089996,142.610001,144.639999,173400,144.639999
"2015-01-15",144.839996,146.270004,139.919998,140.210007,158000,140.210007
"2015-01-16",139.740005,143.699997,139.320007,143.339996,167800,143.339996
"2015-01-20",143.339996,145.779999,141.039993,143.779999,163700,143.779999
"2015-01-21",143.639999,145.479996,142.440002,143.050003,131200,143.050003
"2015-01-22",144.380005,146.940002,142.309998,146.770004,196000,146.770004
"2015-01-23",147.110001,151.770004,146.240005,151.490005,198500,151.490005
"2015-01-26",151.399994,153.809998,149.419998,152.759995,276200,152.759995
"2015-01-27",151,151.440002,148.199997,148.820007,223900,148.820007
"2015-01-28",150.160004,150.220001,144.649994,145.740005,225100,145.740005
"2015-01-29",146.339996,148.720001,144,148.570007,186900,148.570007
"2015-01-30",147.690002,149.080002,146.669998,148.009995,284300,148.009995
"2015-02-02",148.830002,151.119995,145.080002,150.649994,322500,150.649994
"2015-02-03",151.130005,154.699997,150,152.960007,398200,152.960007
"2015-02-04",149.5,158.039993,147.330002,155.929993,703900,155.929993
"2015-02-05",157.080002,159.009995,154.910004,157.199997,367600,157.199997
"2015-02-06",156.660004,158.820007,156.259995,158.470001,237600,158.470001
"2015-02-09",157.970001,158.419998,155.169998,155.869995,239700,155.869995
"2015-02-10",157.399994,161.259995,155.410004,160.919998,291300,160.919998
"2015-02-11",161,162.539993,160.300003,161.949997,355300,161.949997
"2015-02-12",163.059998,163.059998,161.410004,162.169998,187600,162.169998
"2015-02-13",161.960007,163.990005,161.320007,163.759995,220800,163.759995
"2015-02-17",163.440002,163.440002,160.720001,162.679993,178800,162.679993
"2015-02-18",161.800003,165.839996,160.919998,165.619995,236000,165.619995
"2015-02-19",164.899994,169.410004,164.210007,168.25,324400,168.25
"2015-02-20",168.509995,169.259995,165.979996,168.880005,272200,168.880005
"2015-02-23",167.830002,167.940002,162.910004,164.089996,300000,164.089996
"2015-02-24",164,169.130005,162.850006,165.470001,144300,165.470001
"2015-02-25",165.470001,167.580002,164.360001,167.339996,165200,167.339996
"2015-02-26",167.639999,169.729996,166.330002,169.039993,272500,169.039993
"2015-02-27",168.050003,169.949997,164.589996,164.649994,208700,164.649994
"2015-03-02",164.580002,167.559998,164.050003,167.389999,191400,167.389999
"2015-03-03",166.679993,167.270004,164.350006,165.729996,114800,165.729996
"2015-03-04",165.190002,166.059998,163.070007,164.080002,156600,164.080002
"2015-03-05",163.899994,166.320007,161.960007,165.800003,127000,165.800003
"2015-03-06",164.389999,165.570007,161.979996,162.600006,168700,162.600006
"2015-03-09",163.210007,165.059998,161.570007,164.619995,228500,164.619995
"2015-03-10",162.889999,164.339996,161.550003,161.779999,261800,161.779999
"2015-03-11",162.190002,164.990005,159.410004,164.660004,222200,164.660004
"2015-03-12",165.020004,166.960007,164.729996,166.720001,178200,166.720001
"2015-03-13",166.649994,168.179993,164.220001,167.130005,257800,167.130005
"2015-03-16",167.75,169.990005,166.960007,169.75,183500,169.75
"2015-03-17",168.919998,170.699997,167.960007,170.110001,184900,170.110001
