Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,104.480003,105.290001,102.07,102.519997,100.225677,3824300
2017-01-04,102.889999,104.309998,102.510002,103.139999,100.831802,3668300
2017-01-05,103.029999,103.360001,101.220001,102.129997,99.844398,4180400
2017-01-06,102.029999,103.769997,101.199997,103.190002,100.880692,3862400
2017-01-09,103.730003,103.739998,101.900002,102.419998,100.127914,2968600
2017-01-10,102.559998,104.239998,101.910004,103.419998,101.105537,3562700
2017-01-11,103.349998,104.830002,103.029999,104.269997,101.936516,2864800
2017-01-12,104.269997,104.959999,103.349998,104.699997,102.35688,2397000
2017-01-13,104.510002,105.449997,104.279999,105.25,102.894592,2743400
2017-01-17,104.699997,104.82,102.849998,103.370003,101.056664,3398400
2017-01-18,102.260002,104.370003,101.529999,103.769997,101.447701,5363900
2017-01-19,108.209999,108.980003,105.440002,106.239998,103.862427,10103900
2017-01-20,106.830002,108.639999,106.610001,108.599998,106.169609,6440000
2017-01-23,108.639999,108.639999,106.93,107.989998,105.573257,3932200
2017-01-24,108.150002,109.25,107.599998,108.720001,106.286926,4564900
2017-01-25,109.290001,111.0,109.010002,110.419998,107.948883,5137900
2017-01-26,110.25,111.379997,109.480003,110.150002,107.684929,4607200
2017-01-27,110.349998,110.360001,108.139999,109.199997,106.75618,3555400
2017-01-30,108.940002,108.959999,106.339996,108.0,105.583038,5334200
2017-01-31,108.129997,108.580002,106.220001,106.580002,104.194817,4534600
2017-02-01,107.040001,108.07,106.400002,107.699997,105.289757,4374500
2017-02-02,107.199997,107.580002,105.900002,107.300003,104.898705,4225900
2017-02-03,107.480003,108.839996,107.349998,108.510002,106.081627,3249600
2017-02-06,108.360001,108.690002,107.580002,107.690002,105.279984,2858100
2017-02-07,108.190002,108.760002,107.349998,107.650002,105.240883,3493400
2017-02-08,107.519997,107.93,106.269997,107.339996,104.937798,3901400
2017-02-09,107.339996,107.879997,107.120003,107.419998,105.016022,3603900
2017-02-10,107.879997,108.489998,107.709999,107.870003,105.455956,2778000
2017-02-13,108.089996,109.300003,107.889999,108.32,105.895874,2640000
2017-02-14,108.07,109.160004,107.739998,109.160004,106.717079,2890300
2017-02-15,108.529999,109.989998,108.169998,109.779999,107.323204,3352900
2017-02-16,109.480003,110.0,108.5,109.389999,106.94194,2811100
2017-02-17,109.43,109.82,107.959999,109.82,107.362305,4246300
2017-02-21,110.0,110.82,109.349998,109.669998,107.215675,4169800
2017-02-22,109.18,109.440002,107.949997,108.870003,106.433578,4206100
2017-02-23,109.139999,109.5,106.260002,106.699997,104.312126,4876600
2017-02-24,105.610001,107.760002,105.169998,107.739998,105.929489,4632500
2017-02-27,107.82,108.0,106.480003,107.5,105.693527,3288500
2017-02-28,107.529999,108.080002,107.089996,107.940002,106.126137,3756600
2017-03-01,109.040001,110.650002,109.040001,110.110001,108.259666,4064900
2017-03-02,110.050003,110.239998,108.910004,109.050003,107.217476,2739700
2017-03-03,109.080002,109.279999,108.239998,109.019997,107.187981,2304900
2017-03-06,108.760002,109.639999,108.5,109.43,107.591103,2989100
2017-03-07,109.099998,109.519997,108.160004,108.360001,106.539078,3331200
2017-03-08,108.360001,108.459999,106.410004,106.709999,104.916801,3454900
2017-03-09,106.809998,107.139999,105.739998,106.18,104.395706,4131200
2017-03-10,106.889999,106.989998,105.720001,106.279999,104.494034,3316200
2017-03-13,106.360001,106.790001,105.949997,106.449997,104.661163,3514800
2017-03-14,105.949997,106.279999,104.32,104.370003,102.616119,4303800
2017-03-15,104.589996,106.139999,104.099998,105.580002,103.805794,3496100
2017-03-16,105.5,106.32,105.0,105.449997,103.677979,3645300
2017-03-17,105.43,106.050003,105.099998,105.989998,104.208893,11395400
2017-03-20,105.75,105.980003,105.0,105.080002,103.314194,3444900
2017-03-21,105.440002,105.610001,103.199997,103.650002,101.908226,3846300
2017-03-22,103.550003,104.5,103.07,104.059998,102.311325,4101200
2017-03-23,103.989998,105.139999,103.599998,103.870003,102.124535,2587700
2017-03-24,103.989998,104.610001,103.440002,103.959999,102.21302,2734700
2017-03-27,102.900002,104.519997,102.410004,104.019997,102.271996,3812000
2017-03-28,104.050003,105.889999,103.830002,105.5,103.727135,4237100
2017-03-29,104.809998,106.169998,104.410004,105.580002,103.805794,2905000
2017-03-30,105.739998,107.459999,105.32,106.940002,105.142944,2961000
2017-03-31,106.980003,107.089996,105.900002,105.919998,104.140076,2888300
2017-04-03,106.160004,106.779999,105.080002,105.5,103.727135,2889000
2017-04-04,105.709999,107.239998,105.129997,107.199997,105.398567,3445400
2017-04-05,107.949997,109.540001,106.57,106.760002,104.965965,2938100
2017-04-06,104.790001,107.389999,104.769997,107.07,105.27076,4556100
2017-04-07,107.330002,107.779999,106.57,107.029999,105.23143,2205000
2017-04-10,107.57,108.389999,107.449997,107.620003,105.811516,2631700
2017-04-11,107.209999,107.769997,106.260002,107.610001,105.801674,2298800
2017-04-12,108.080002,108.129997,105.480003,105.57,103.795959,3046400
2017-04-13,105.5,106.07,104.779999,104.779999,103.019234,2372700
2017-04-17,104.900002,106.010002,104.120003,105.980003,104.199074,2773900
2017-04-18,105.480003,106.68,105.190002,106.239998,104.454704,2767000
2017-04-19,106.790001,107.779999,106.269997,106.790001,104.995461,3344300
2017-04-20,108.169998,109.349998,107.870003,107.900002,106.086807,4201600
2017-04-21,108.199997,108.779999,107.629997,108.279999,106.460419,3144000
2017-04-24,109.5,109.980003,109.160004,109.330002,107.492775,3218000
2017-04-25,109.330002,110.760002,109.059998,110.480003,108.623459,3990700
2017-04-26,110.550003,111.959999,109.830002,110.169998,108.318657,6303700
2017-04-27,112.019997,115.150002,111.889999,113.529999,111.622192,5156600
2017-04-28,113.529999,113.949997,111.309998,111.959999,110.078575,3545300
2017-05-01,112.43,112.68,111.599998,111.599998,109.724625,2888300
2017-05-02,111.75,112.279999,110.940002,111.089996,109.223198,3820300
2017-05-03,110.660004,111.209999,110.339996,110.879997,109.016724,2696500
2017-05-04,111.209999,111.599998,110.120003,110.330002,108.475975,2627800
2017-05-05,110.589996,110.75,110.120003,110.720001,108.859421,3078900
2017-05-08,110.389999,110.790001,109.75,110.019997,108.171181,3426100
2017-05-09,109.860001,110.620003,109.519997,109.959999,108.11219,2423600
2017-05-10,110.120003,110.120003,108.970001,109.32,107.482941,3551200
2017-05-11,108.989998,110.620003,108.739998,110.099998,108.249832,3837700
2017-05-12,109.650002,110.790001,109.650002,110.480003,108.623459,3609900
2017-05-15,110.559998,111.529999,110.5,111.279999,109.410004,2477500
2017-05-16,111.720001,111.830002,110.599998,111.0,109.134712,2567900
2017-05-17,111.0,111.0,106.379997,106.559998,104.769318,4445100
2017-05-18,106.129997,108.620003,105.5,107.139999,105.339577,4642300
2017-05-19,107.400002,108.129997,106.839996,107.050003,105.251091,3600700
2017-05-22,107.529999,108.099998,106.809998,107.830002,106.017982,3023400
2017-05-23,107.959999,108.449997,107.290001,108.0,106.18512,2732500
2017-05-24,107.900002,108.639999,107.440002,108.050003,106.234291,2931700
2017-05-25,108.620003,109.959999,108.18,109.699997,107.856552,3872700
2017-05-26,108.809998,110.75,108.540001,110.57,109.314812,3901900
2017-05-30,110.07,111.040001,109.800003,110.809998,109.552086,2958300
2017-05-31,110.980003,111.0,109.360001,110.300003,109.047882,4994300
2017-06-01,110.580002,111.190002,110.0,110.589996,109.334579,2783500
2017-06-02,110.889999,112.260002,110.25,111.199997,109.937653,3435500
2017-06-05,111.400002,111.470001,110.029999,110.190002,108.939125,2825000
2017-06-06,109.690002,110.120003,108.910004,108.959999,107.723083,2922500
2017-06-07,109.199997,109.480003,108.480003,109.110001,107.871391,2537200
2017-06-08,109.110001,110.019997,108.760002,109.839996,108.593094,3043400
2017-06-09,110.0,110.290001,108.510002,109.75,108.50412,2496500
2017-06-12,109.730003,110.239998,109.290001,110.129997,108.879807,3543400
2017-06-13,110.190002,111.660004,110.0,111.540001,110.273804,2384700
2017-06-14,111.699997,111.720001,109.349998,109.800003,108.553551,3033400
2017-06-15,109.029999,110.809998,108.82,110.669998,109.413673,2826800
2017-06-16,110.860001,111.379997,109.940002,111.379997,110.115616,4136300
2017-06-19,111.699997,112.110001,110.760002,111.830002,110.560516,3238200
2017-06-20,111.25,111.540001,108.269997,108.349998,107.12001,4406900
2017-06-21,108.519997,108.540001,107.580002,107.620003,106.398308,3723600
2017-06-22,107.900002,107.900002,106.589996,107.389999,106.170906,3098700
