"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",40.16,40.189999,39.610001,39.799999,70300,39.799999
"2015-01-05",39.23,39.23,34.779999,35.669998,541000,35.669998
"2015-01-06",35.740002,36.619999,34.709999,35.400002,855400,35.400002
"2015-01-07",35.799999,36.34,35.459999,36.130001,166000,36.130001
"2015-01-08",36.299999,36.360001,35.369999,35.720001,161700,35.720001
"2015-01-09",35.59,35.959999,35.220001,35.5,102200,35.5
"2015-01-12",35.27,36.330002,34.939999,36.150002,144400,36.150002
"2015-01-13",36.470001,36.91,35.860001,36.459999,75100,36.459999
"2015-01-14",36.150002,36.310001,35.150002,35.57,82500,35.57
"2015-01-15",35.549999,35.669998,34.880001,34.939999,103800,34.939999
"2015-01-16",34.860001,35.880001,34.830002,35.639999,77100,35.639999
"2015-01-20",35.59,35.779999,35.080002,35.639999,71600,35.639999
"2015-01-21",35.630001,35.700001,34.959999,35.400002,56500,35.400002
"2015-01-22",35.5,35.810001,34.959999,35.759998,63900,35.759998
"2015-01-23",35.57,35.950001,35.220001,35.27,43600,35.27
"2015-01-26",35.310001,36.32,34.84,36.279999,91400,36.279999
"2015-01-27",35.91,36.049999,35.110001,35.189999,86500,35.189999
"2015-01-28",35.529999,35.529999,34.77,34.790001,50800,34.790001
"2015-01-29",34.689999,34.970001,34.099998,34.790001,105500,34.790001
"2015-01-30",34.48,35.169998,34.25,34.790001,126600,34.790001
"2015-02-02",34.950001,35.66,34.560001,35.299999,115200,35.299999
"2015-02-03",35.48,36.740002,35.34,36.619999,158500,36.619999
"2015-02-04",36.389999,36.939999,36.169998,36.18,75900,36.18
"2015-02-05",36.41,37.52,36.380001,37.400002,57800,37.400002
"2015-02-06",37.5,37.939999,37.279999,37.48,70100,37.48
"2015-02-09",37.41,37.970001,37.369999,37.599998,74800,37.599998
"2015-02-10",37.810001,38.049999,37.380001,38.02,41900,38.02
"2015-02-11",38.040001,38.32,37.66,38.27,92800,38.27
"2015-02-12",38.43,38.619999,38.349998,38.43,41800,38.43
"2015-02-13",38.459999,38.75,38.169998,38.529999,56000,38.529999
"2015-02-17",38.259998,38.709999,37.529999,37.889999,82300,37.889999
"2015-02-18",37.759998,37.889999,37.189999,37.48,73900,37.48
"2015-02-19",37.369999,37.73,37,37.189999,56500,37.189999
