"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",115.139999,115.639999,113.800003,115.040001,3140100,107.531639
"2015-01-05",114.550003,115.459999,112.839996,113.120003,4765300,105.736954
"2015-01-06",112.269997,113.040001,110.230003,111.519997,5772300,104.241379
"2015-01-07",112.349998,113.339996,112.019997,112.730003,3102200,105.372406
"2015-01-08",113.919998,115,113.300003,114.650002,3899900,107.167091
"2015-01-09",114.93,115.129997,113.379997,114.019997,3816100,106.578209
"2015-01-12",114.459999,114.75,113.019997,114.449997,5016200,106.980148
"2015-01-13",115.529999,116.839996,113.5,114.339996,4196400,106.877319
"2015-01-14",113.169998,114.169998,112.620003,113.519997,3508800,106.110847
"2015-01-15",113.519997,114.690002,113.059998,113.519997,3170600,106.110847
"2015-01-16",113.190002,116.339996,113.160004,116.150002,5773200,108.569183
"2015-01-20",116.580002,117.730003,115.900002,117.529999,5165600,109.859131
"2015-01-21",117.360001,119.300003,117.199997,119.029999,7177600,111.261238
"2015-01-22",119.760002,120.68,118.760002,120.449997,6562900,112.588547
"2015-01-23",120.370003,120.949997,119.93,119.980003,4288600,112.149231
"2015-01-26",119.830002,119.919998,118.279999,118.75,5693900,110.999504
"2015-01-27",116.5,120.360001,115.010002,119.160004,7328100,111.382744
"2015-01-28",119.379997,119.379997,116.790001,116.919998,4341100,109.28894
"2015-01-29",116.879997,117.029999,114.470001,116.449997,6328600,108.849625
"2015-01-30",115.019997,116.230003,114.629997,114.779999,4623100,107.28862
"2015-02-02",115.169998,116.699997,114.050003,116.580002,3516900,108.971138
"2015-02-03",117.580002,119.519997,116.419998,118.889999,4453600,111.130363
"2015-02-04",118.75,119,117.449997,117.790001,3208400,110.102165
"2015-02-05",118.260002,120.360001,117.919998,120.110001,4687300,112.270752
"2015-02-06",120,121.019997,119.379997,119.809998,2795900,111.990311
"2015-02-09",119.440002,119.940002,118.910004,119.32,2560700,111.532295
"2015-02-10",119.889999,120.220001,118.919998,119.400002,2560000,111.607086
"2015-02-11",118.510002,119.059998,117.970001,118.690002,2707600,111.541306
"2015-02-12",119.169998,119.959999,118.82,119.589996,2897000,112.387077
"2015-02-13",119.339996,121.379997,119.339996,121.25,3802100,113.947105
"2015-02-17",121,121.900002,120.57,121.32,3241200,114.012894
"2015-02-18",121.32,122.660004,121.010002,121.989998,3458100,114.642532
"2015-02-19",121.580002,123,121.580002,122.910004,3407000,115.507126
"2015-02-20",122.989998,124.449997,122,124.110001,4062200,116.634842
"2015-02-23",123.629997,124.160004,123.07,123.720001,2737300,116.268333
"2015-02-24",123.419998,124.139999,122.989998,123.790001,2444600,116.334114
"2015-02-25",123.849998,124.330002,122.949997,123.370003,2872900,115.93943
"2015-02-26",123.32,123.550003,122.150002,122.669998,2498200,115.28157
"2015-02-27",122.550003,122.849998,121.790001,121.910004,3085300,114.56736
"2015-03-02",121.910004,123.5,121.550003,123.190002,2325900,115.770248
"2015-03-03",121.980003,122.889999,121.110001,121.699997,3187500,114.370003
"2015-03-04",121.25,121.389999,120.519997,121.040001,2106700,113.749756
"2015-03-05",121.290001,121.489998,120.349998,120.790001,1928300,113.514816
"2015-03-06",119.400002,120.360001,118.879997,119.43,3663100,112.236725
"2015-03-09",119.290001,122.190002,119.290001,121.75,4127100,114.416985
"2015-03-10",120.550003,120.980003,117.339996,117.400002,5580300,110.329002
"2015-03-11",117.779999,118.910004,117.370003,118.339996,3747900,111.212372
"2015-03-12",120.349998,121.470001,120.279999,121.239998,4907800,113.937706
"2015-03-13",120.760002,121.599998,117.699997,118.739998,7361500,111.58828
"2015-03-16",119.25,120.160004,119.029999,120.07,4674700,112.838173
"2015-03-17",119.519997,120.129997,118.75,119.860001,3822800,112.640823
"2015-03-18",119.279999,120.599998,117.25,120.309998,5280200,113.063728
"2015-03-19",120.040001,120.309998,119.040001,119.379997,2880800,112.18972
"2015-03-20",119.809998,120.400002,119.459999,119.459999,8207000,112.264923
"2015-03-23",119.459999,119.690002,118.190002,118.68,4482100,111.531891
"2015-03-24",119.040001,120.18,118.25,118.919998,4033800,111.757446
"2015-03-25",119.199997,119.339996,116.389999,116.459999,4456500,109.44561
"2015-03-26",115.959999,116.620003,115.019997,116.040001,4389700,109.050911
"2015-03-27",116.139999,117.199997,116.050003,116.900002,2786300,109.859108
"2015-03-30",117.68,119.230003,117.400002,118.830002,3000800,111.672867
"2015-03-31",117.669998,118.150002,117.150002,117.199997,3525400,110.141037
"2015-04-01",117.370003,117.480003,115.360001,115.919998,3400400,108.938126
"2015-04-02",116.589996,117.68,115.989998,117.129997,4227300,110.075264
"2015-04-06",115.93,118.709999,115.93,117.860001,2857300,110.761284
"2015-04-07",117.760002,118.550003,117.449997,117.489998,2269100,110.413567
"2015-04-08",117.709999,118.650002,117.059998,117.839996,2484100,110.742485
"2015-04-09",117.699997,118.739998,117.18,117.879997,2088400,110.78009
"2015-04-10",118.139999,118.940002,117.43,118.459999,2254700,111.325142
"2015-04-13",117.970001,118.620003,117.239998,117.410004,3030400,110.338387
"2015-04-14",117.050003,118.110001,116.580002,117.690002,2602100,110.60154
"2015-04-15",118.080002,118.779999,117.519997,117.870003,2774300,110.770683
"2015-04-16",117.349998,118.309998,116.919998,117.480003,2905100,110.404167
"2015-04-17",116.309998,116.519997,114.860001,115.110001,4318500,108.176926
"2015-04-20",116.019997,117.169998,115.889999,116.510002,4000900,109.492584
"2015-04-21",118.730003,119,116.110001,116.949997,4585000,109.90609
"2015-04-22",116.989998,117.43,115.730003,116.959999,2792900,109.915489
"2015-04-23",116.419998,117.910004,116.029999,117.260002,2632800,110.197411
"2015-04-24",117.440002,117.699997,116.059998,116.160004,3523100,109.163673
"2015-04-27",116.660004,116.870003,115.699997,115.739998,3920300,108.768967
"2015-04-28",115.199997,116.239998,114.949997,116.080002,2746700,109.088493
"2015-04-29",115.580002,116.230003,115.169998,115.379997,2893800,108.430641
"2015-04-30",114.93,115.629997,113.290001,113.75,3899200,106.898842
"2015-05-01",114.589996,115.720001,114.510002,115.440002,2781700,108.487045
"2015-05-04",115.779999,117.139999,115.699997,116.449997,3925300,109.436203
"2015-05-05",116.010002,116.879997,114.709999,115.07,3028200,108.139328
"2015-05-06",116.559998,116.559998,114.269997,115.080002,3690300,108.14872
"2015-05-07",115.129997,116.559998,114.589996,116.040001,3155700,109.050911
"2015-05-08",117.709999,118.849998,117.309998,118.43,3707800,111.296951
"2015-05-11",117.440002,118.489998,117.440002,117.699997,3023800,110.610909
"2015-05-12",117.050003,117.830002,116.019997,117.360001,2804100,110.291397
"2015-05-13",116.970001,118,116.860001,117.370003,3038700,110.905609
"2015-05-14",117.82,119.370003,117.82,119.139999,2728800,112.57811
"2015-05-15",119.080002,119.389999,117.919998,118.489998,2964700,111.963913
"2015-05-18",118.529999,119.120003,118.400002,118.510002,2433600,111.982819
"2015-05-19",118.599998,119.449997,118.510002,119.07,2808400,112.511971
"2015-05-20",119.660004,119.660004,118.599998,118.870003,2431600,112.322983
"2015-05-21",118.809998,119.660004,118.699997,119.120003,2121200,112.559212
"2015-05-22",119,119.660004,118.550003,118.620003,2389600,112.086754
"2015-05-26",118.550003,118.620003,116.410004,116.870003,3434600,110.433136
"2015-05-27",117.400002,117.879997,116.68,117.639999,3365100,111.160736
"2015-05-28",117.269997,118,117.269997,117.690002,2903600,111.207977
"2015-05-29",117.510002,117.610001,116.43,117.169998,4933500,110.716614
"2015-06-01",117.230003,117.629997,116.459999,117,2341600,110.555977
"2015-06-02",116.730003,118.050003,116.239998,117.339996,3503300,110.877243
"2015-06-03",118.029999,119.120003,117.400002,118.510002,3129900,111.982819
"2015-06-04",117.830002,118.419998,116.790001,117.139999,3581600,110.688255
"2015-06-05",116.589996,117.379997,116.18,117,2667400,110.555977
"2015-06-08",116.540001,117.360001,116.110001,116.18,3209400,109.781151
"2015-06-09",116.510002,117.25,116.019997,116.300003,2499500,109.894516
"2015-06-10",117.5,118,116.910004,117.5,3145800,111.028442
"2015-06-11",117.989998,118.400002,117.43,118.32,2707500,111.803276
"2015-06-12",117.459999,118.029999,117.019997,117.599998,2345300,111.122925
"2015-06-15",115.209999,115.529999,114.400002,114.610001,5972900,108.297623
"2015-06-16",114.510002,115.379997,114.32,114.940002,4936200,108.609428
"2015-06-17",115.279999,115.480003,113.980003,115.07,3799400,108.732269
"2015-06-18",114.290001,116.559998,114.290001,115.900002,3753600,109.516563
"2015-06-19",115.599998,116.150002,114.889999,114.889999,4210200,108.562195
"2015-06-22",115.400002,115.779999,114.959999,115.279999,2971100,108.93071
"2015-06-23",115.169998,115.519997,114.919998,115.230003,3632800,108.883461
"2015-06-24",114.699997,114.830002,113.82,113.970001,4271200,107.692856
"2015-06-25",114.239998,114.650002,113.300003,113.300003,3786200,107.059761
"2015-06-26",113.470001,113.989998,113.050003,113.519997,3667700,107.267647
"2015-06-29",112.739998,113.029999,111.449997,111.529999,4160400,105.387245
"2015-06-30",112.239998,112.480003,110.620003,110.93,5909800,104.820297
"2015-07-01",112.029999,112.169998,110.139999,110.82,4126800,104.716347
"2015-07-02",111.330002,111.589996,109.220001,109.559998,5159500,103.525742
"2015-07-06",108.360001,109.809998,107.949997,109.360001,4195100,103.336769
"2015-07-07",109.540001,110.220001,108.050003,110.089996,4732100,104.02655
"2015-07-08",108.760002,109.720001,108.260002,108.669998,3806300,102.684769
"2015-07-09",110,110.440002,108.919998,108.919998,2555000,102.921005
"2015-07-10",110.379997,111.279999,109.510002,110.18,4309600,104.111595
"2015-07-13",111.190002,111.980003,110.75,111.580002,3892900,105.434494
"2015-07-14",111.5,111.639999,111.019997,111.510002,2987500,105.368355
"2015-07-15",111.5,111.830002,110.809998,111.25,2844500,105.122673
"2015-07-16",112.32,112.360001,111.040001,111.260002,3063800,105.132118
"2015-07-17",111.260002,111.470001,110.599998,110.739998,3465100,104.64077
"2015-07-20",110.970001,111.010002,109.510002,110.480003,7487000,104.395081
"2015-07-21",104.349998,104.949997,101.779999,102.709999,19540100,97.053024
"2015-07-22",102.260002,102.5,100.889999,101.550003,9433700,95.956917
"2015-07-23",102.18,102.190002,100.739998,101.139999,5925700,95.569489
"2015-07-24",101,101.190002,99.260002,99.309998,6588000,93.840279
"2015-07-27",98.779999,99.540001,98.379997,98.870003,7560400,93.42453
"2015-07-28",99.029999,99.279999,98.019997,98.970001,5583000,93.519012
"2015-07-29",99.089996,99.580002,97.589996,99.360001,11935800,93.887543
"2015-07-30",99.379997,101.290001,99,100.730003,6739100,95.182091
"2015-07-31",100.919998,101.489998,100.25,100.309998,7217200,94.785217
"2015-08-03",100.309998,100.309998,98.18,99.419998,7123700,93.944221
"2015-08-04",100.029999,100.120003,98.910004,99.029999,5557600,93.575714
"2015-08-05",99.970001,100.129997,98.730003,98.870003,3895600,93.42453
"2015-08-06",98.989998,99.209999,98.360001,98.980003,4198400,93.528458
"2015-08-07",98.720001,98.989998,98,98.290001,2897100,92.876465
"2015-08-10",98.849998,99.790001,98.849998,99.550003,6068400,94.067078
"2015-08-11",98.68,98.889999,98,98.610001,7317900,93.178856
"2015-08-12",97.25,98.839996,96.650002,98.690002,4618800,93.86364
"2015-08-13",98.540001,99,98.059998,98.379997,4689900,93.568794
"2015-08-14",98.110001,98.879997,97.989998,98.699997,4413300,93.873138
"2015-08-17",98.129997,99.43,97.610001,99.360001,4228400,94.50087
"2015-08-18",98.959999,100.019997,98.959999,99.410004,4730400,94.548424
"2015-08-19",98.699997,99.370003,97.870003,98.209999,3619800,93.407112
"2015-08-20",97.5,98.150002,95.82,95.82,6084000,91.133995
"2015-08-21",94.959999,95.220001,92.919998,93.010002,7624400,88.461411
"2015-08-24",88.669998,93.190002,87.169998,90.870003,10994900,86.426056
"2015-08-25",93.360001,93.75,88.690002,88.800003,8283500,84.457298
"2015-08-26",90.690002,91.690002,88.809998,91.559998,7380300,87.082314
"2015-08-27",92.519997,93.480003,91.550003,93.269997,7473800,88.708694
"2015-08-28",92.849998,93.550003,92.669998,93.239998,5230200,88.680153
"2015-08-31",91.209999,92.620003,90.540001,91.610001,7004500,87.129875
"2015-09-01",89.489998,90.68,89.279999,89.720001,6786600,85.332314
"2015-09-02",90.940002,91.260002,89.970001,91.239998,5642000,86.777985
"2015-09-03",92,92.580002,91.639999,91.910004,4534600,87.415215
"2015-09-04",90.82,91.150002,90.360001,90.68,4562800,86.245369
"2015-09-08",92.150002,92.959999,91.949997,92.82,4814800,88.280701
"2015-09-09",93.650002,93.839996,91.739998,91.849998,4760700,87.358139
"2015-09-10",92.040001,92.089996,90.889999,91.400002,6120700,86.930153
"2015-09-11",91.199997,92.339996,91,92.330002,4490200,87.814667
"2015-09-14",92.300003,92.440002,91.389999,91.830002,3279200,87.339119
"2015-09-15",92.620003,93.110001,92.080002,92.68,4104000,88.147552
"2015-09-16",92.720001,94.110001,92.68,93.940002,3504200,89.34594
"2015-09-17",93.889999,94.919998,93.139999,93.309998,5205800,88.746735
"2015-09-18",92.410004,92.599998,90.529999,91.07,10335600,86.616295
"2015-09-21",91.330002,92.169998,91,91.550003,2981200,87.072807
"2015-09-22",88.980003,89.699997,87.660004,88.199997,7911700,83.886642
"2015-09-23",88.150002,88.379997,85.900002,86.959999,7324200,82.707275
"2015-09-24",85.75,86.989998,85.5,86.82,7126800,82.574127
"2015-09-25",87.629997,88.169998,86.730003,87.300003,7447600,83.030655
"2015-09-28",86.599998,87.470001,86.290001,86.830002,5343700,82.583649
"2015-09-29",86.580002,88.080002,86.459999,87.980003,4117600,83.677406
"2015-09-30",88.639999,89.57,88.080002,88.989998,5051600,84.637993
"2015-10-01",88.900002,89.43,87.529999,88.360001,3668600,84.038818
"2015-10-02",87.489998,89.889999,86.82,89.769997,4624200,85.37986
"2015-10-05",90.440002,92.480003,90.220001,92.260002,4912500,87.748093
"2015-10-06",92.150002,92.849998,92.010002,92.550003,3386600,88.023911
"2015-10-07",94,94.160004,92.57,93.510002,3516100,88.936958
"2015-10-08",92.860001,94.389999,92.839996,94.330002,4051800,89.716866
"2015-10-09",94.669998,95.940002,94.510002,95.370003,4099900,90.705994
"2015-10-12",94.940002,95.470001,94.610001,95.43,3194900,90.763069
"2015-10-13",94.169998,94.75,93.639999,94.279999,4079300,89.669304
"2015-10-14",94.269997,94.860001,91.760002,92.169998,5608300,87.662498
"2015-10-15",92.709999,93.230003,92.150002,93.18,3829800,88.6231
"2015-10-16",94,94.150002,92.629997,93,3148400,88.451904
"2015-10-19",92.5,92.849998,91.209999,92.050003,5513800,87.548363
"2015-10-20",94.330002,97.690002,93.080002,95.620003,8885200,90.943771
"2015-10-21",96.239998,98.68,96.019997,97.970001,10498900,93.178856
"2015-10-22",98.290001,100.230003,98.099998,99.790001,5722400,94.909843
"2015-10-23",100.459999,100.900002,100.18,100.620003,5032900,95.699257
"2015-10-26",100.620003,100.980003,100,100.230003,2701000,95.328323
"2015-10-27",99.800003,99.970001,98.709999,98.879997,3396500,94.044342
"2015-10-28",99.370003,99.519997,98.169998,99.32,3829900,94.46283
"2015-10-29",99.239998,99.610001,98.239998,99.050003,3287300,94.206032
"2015-10-30",99.029999,99.18,98.260002,98.410004,4010900,93.597336
"2015-11-02",98.82,99.580002,98.349998,99.389999,3067500,94.529411
"2015-11-03",99.379997,100.339996,98.800003,100,3090000,95.109573
"2015-11-04",100.419998,101.040001,100,100.330002,2847000,95.423431
"2015-11-05",100.43,100.989998,99.720001,100.800003,2832400,95.870445
"2015-11-06",100.040001,100.800003,99.290001,100.800003,2735100,95.870445
"2015-11-09",100.599998,100.839996,99.209999,99.660004,3164700,94.786201
"2015-11-10",98.830002,99.419998,97.949997,98.68,2738500,94.460732
"2015-11-11",99.040001,99.400002,98.07,98.260002,2165900,94.058693
"2015-11-12",97.260002,99.730003,96.879997,99.220001,8808200,94.977646
"2015-11-13",98.720001,99.639999,96.389999,96.480003,6218900,92.354813
"2015-11-16",96.559998,97.860001,96.379997,97.830002,5098700,93.647087
"2015-11-17",98.169998,98.300003,97.400002,97.550003,4528800,93.379044
"2015-11-18",97.629997,97.860001,96.839996,97.709999,4202000,93.532204
"2015-11-19",97.970001,98.889999,97.830002,98.300003,4366600,94.096985
"2015-11-20",98.639999,99.550003,98.139999,98.220001,4898200,94.020409
"2015-11-23",98.18,98.580002,97.889999,98.089996,4177100,93.89595
"2015-11-24",97.57,97.879997,96.459999,97.360001,5344100,93.197174
"2015-11-25",97.410004,98.050003,97.25,97.269997,4336400,93.111023
"2015-11-27",97.010002,97.169998,96.540001,96.800003,1919700,92.661118
"2015-11-30",97.059998,97.25,95.940002,96.050003,5561000,91.943184
"2015-12-01",96.040001,97.449997,96.019997,96.699997,4595500,92.565384
"2015-12-02",96.459999,96.830002,95.129997,95.25,3892500,91.177391
"2015-12-03",95.300003,95.800003,94.400002,94.699997,6082000,90.650902
"2015-12-04",94.989998,96.629997,94.790001,95.730003,9228900,91.636871
"2015-12-07",95.620003,96.25,95.370003,95.910004,4681200,91.809174
"2015-12-08",94.980003,95.32,93.900002,94.230003,7011800,90.201004
"2015-12-09",93.580002,95.580002,93.209999,94.160004,6911400,90.133987
