"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",86.593262,87.419983,86.110397,87.332184,586000,79.610641
"2015-01-05",86.878586,87.866264,86.783478,87.551666,729500,79.810715
"2015-01-06",87.683357,88.634453,87.573616,88.26133,1180900,80.457634
"2015-01-07",88.868568,90.236679,88.049164,90.126938,928300,82.158302
"2015-01-08",90.324471,90.84391,89.658707,90.434212,642300,82.438393
"2015-01-09",90.434212,91.078026,89.900139,90.426895,655800,82.431717
"2015-01-12",90.565903,91.22435,90.514687,91.019501,615300,82.971947
"2015-01-13",91.392616,91.853531,90.317154,90.829277,700300,82.798538
"2015-01-14",90.478104,91.399933,90.002563,91.217033,921300,83.152
"2015-01-15",91.553574,92.636353,91.136559,92.182755,1467700,84.032341
"2015-01-16",93.330635,93.556992,91.188362,92.376717,1430800,84.209167
"2015-01-20",92.86985,93.371056,91.180275,91.624901,1102400,83.523811
"2015-01-21",90.873077,91.527893,89.943413,90.873077,876000,82.838455
"2015-01-22",90.953918,92.805176,90.953918,92.708168,821000,84.511307
"2015-01-23",92.845596,92.902184,92.126114,92.40097,575000,84.23127
"2015-01-26",92.287796,92.772835,91.85125,92.764755,648800,84.562889
"2015-01-27",92.271622,92.886017,91.988686,92.376717,630600,84.209167
"2015-01-28",92.554565,92.958771,91.406631,91.414711,894100,83.332222
"2015-01-29",90.913498,91.220695,90.282944,90.978172,720700,83.509789
"2015-01-30",90.533546,91.139854,89.22393,89.280518,1279500,81.951485
"2015-02-02",89.329025,89.935326,88.011314,89.773643,995200,82.404144
"2015-02-03",89.555374,90.565887,88.97332,90.549721,747400,83.116508
"2015-02-04",90.501213,90.622475,89.620049,90.202103,622000,82.797432
"2015-02-05",90.5093,92.223122,90.137428,92.134193,870700,84.570908
"2015-02-06",91.705742,91.738075,90.452705,91.059013,1732100,83.583992
"2015-02-09",90.889252,91.608734,90.76799,90.81649,804300,83.361382
"2015-02-10",90.937752,91.754242,90.541634,91.358124,1163000,83.858551
"2015-02-11",91.827003,92.012932,90.404205,91.091347,544600,83.61367
"2015-02-12",91.188362,92.118027,90.670975,91.915924,522900,84.370567
"2015-02-13",91.818916,92.037186,90.856911,91.317703,556700,83.821442
"2015-02-17",91.236862,92.093773,90.881165,91.253029,760700,83.762085
"2015-02-18",91.28537,92.279709,90.590134,92.126114,650600,84.563492
"2015-02-19",91.754242,91.778496,89.4907,89.943413,1142100,82.559959
"2015-02-20",89.668556,91.107521,89.474533,90.937752,1009000,83.472672
"2015-02-23",91.28537,91.58448,90.485046,91.479385,542800,83.969841
"2015-02-24",91.083267,91.58448,89.256264,89.773643,832300,82.404144
"2015-02-25",89.733223,90.5578,89.102669,89.288605,906200,81.958923
"2015-02-26",89.102669,89.240097,88.261925,88.423607,646300,81.164925
"2015-02-27",88.577202,89.377525,88.043655,88.957153,837500,81.654671
"2015-03-02",89.191589,90.396118,88.932899,89.717056,564800,82.352188
"2015-03-03",89.498787,90.024254,88.66613,89.458366,575000,82.114746
"2015-03-04",89.296684,89.434113,87.679871,87.857719,800200,80.645493
"2015-03-05",88.40744,89.094582,88.067909,88.253838,1028200,81.009087
"2015-03-06",86.879547,86.879547,84.502831,84.616005,1297300,77.669884
"2015-03-09",85.18998,85.763947,84.801941,85.117218,871000,78.129951
"2015-03-10",85.036377,85.424416,84.430069,84.446243,969200,77.514076
"2015-03-11",84.236053,85.02021,84.1633,84.543251,1152000,77.603119
"2015-03-12",84.955536,86.103477,84.907036,85.885208,908200,78.834908
"2015-03-13",85.901375,85.974129,84.995956,85.497169,808500,78.478722
"2015-03-16",85.763947,86.653191,85.424416,86.224739,832400,79.146568
"2015-03-17",86.00647,86.677444,85.731606,86.410667,754400,79.31723
"2015-03-18",86.289413,88.512527,85.844788,88.027489,669000,80.801331
"2015-03-19",87.696037,88.658043,87.356506,88.15683,941500,80.920052
"2015-03-20",88.391266,91.875504,87.89814,91.705742,1683000,84.17762
"2015-03-23",91.63298,92.174614,91.02668,91.576393,1147800,84.058891
"2015-03-24",91.269203,91.495552,90.76799,90.913498,840500,83.450432
"2015-03-25",91.059013,91.398544,89.126923,89.215843,803900,81.892136
"2015-03-26",88.92482,89.523041,88.358932,89.143089,804500,81.825348
"2015-03-27",89.046082,89.757477,88.835892,89.684723,896300,82.32251
"2015-03-30",90.072754,91.050926,89.337105,90.824577,719800,83.368797
"2015-03-31",90.598221,91.050926,90.137428,90.541634,1693700,83.109085
"2015-04-01",90.501213,90.501213,88.827812,89.167343,1035200,81.84761
"2015-04-02",88.932899,90.501213,88.835892,89.902992,470200,82.522873
