"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",57.23,57.400002,56.57,57.189999,684500,57.189999
"2015-01-05",56.669998,56.98,55.900002,56.240002,874400,56.240002
"2015-01-06",56.169998,56.389999,54.759998,55.18,1289300,55.18
"2015-01-07",55.419998,55.93,55.18,55.639999,552400,55.639999
"2015-01-08",55.889999,56.959999,55.630001,56.880001,1282600,56.880001
"2015-01-09",57.060001,57.919998,56.849998,57.34,1097000,57.34
"2015-01-12",57.34,57.639999,56.48,56.77,762300,56.77
"2015-01-13",57.290001,57.880001,56.32,56.810001,631800,56.810001
"2015-01-14",56.099998,56.720001,55.790001,56.27,527000,56.27
"2015-01-15",56.549999,56.77,55.560001,55.57,470300,55.57
"2015-01-16",55.669998,56.77,55.580002,56.66,802600,56.66
"2015-01-20",56.759998,56.970001,55.619999,56.16,856600,56.16
"2015-01-21",55.889999,56.639999,55.68,56.369999,854000,56.369999
"2015-01-22",55.240002,56.43,54.950001,56.200001,1515000,56.200001
"2015-01-23",56.040001,57.91,56.029999,56.810001,940700,56.810001
"2015-01-26",55.68,56.580002,54.130001,55.810001,2158000,55.810001
"2015-01-27",55.060001,55.610001,54.189999,54.849998,1148700,54.849998
"2015-01-28",55.349998,55.59,54.27,54.299999,1048700,54.299999
"2015-01-29",54.27,54.82,53.700001,54.689999,815400,54.689999
"2015-01-30",54.450001,55.209999,54.150002,54.48,1317500,54.48
"2015-02-02",54.470001,55.299999,53.48,55.209999,1016000,55.209999
"2015-02-03",55.630001,57.73,55.34,57.34,1826800,57.34
"2015-02-04",57.310001,58.16,56.669998,56.880001,1686200,56.880001
"2015-02-05",57,57.450001,56.68,56.950001,1601700,56.950001
"2015-02-06",58.439999,61.380001,57.18,59.970001,3667300,59.970001
"2015-02-09",59.869999,61.040001,59.279999,60.59,1623200,60.59
"2015-02-10",61.099998,61.099998,60.310001,60.880001,1400300,60.880001
"2015-02-11",60.98,61.130001,60.630001,60.98,834200,60.98
"2015-02-12",61.580002,62.189999,61.349998,61.720001,1226500,61.720001
"2015-02-13",61.700001,62.48,61.529999,62.150002,1108300,62.150002
"2015-02-17",62.18,62.52,62,62.16,1079900,62.16
"2015-02-18",62.389999,62.880001,62.02,62.599998,1135200,62.599998
"2015-02-19",62.490002,63.610001,62.360001,63.52,1381400,63.52
"2015-02-20",63.23,63.880001,63.02,63.869999,1045400,63.869999
