"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",105.910004,108.160004,104.519997,105.629997,405500,105.629997
"2015-01-05",104.790001,104.900002,101.199997,101.400002,675100,101.400002
"2015-01-06",101.610001,101.610001,98.839996,100.5,726300,100.5
"2015-01-07",100.980003,101.889999,100.599998,101.400002,529200,101.400002
"2015-01-08",102.220001,103.18,101.800003,102.989998,582100,102.989998
"2015-01-09",103.160004,103.309998,100.080002,100.239998,552800,100.239998
"2015-01-12",100.25,100.809998,98.730003,99.580002,329400,99.580002
"2015-01-13",99.860001,101.510002,98.599998,99.550003,476500,99.550003
"2015-01-14",99,99.349998,97.589996,98.919998,393000,98.919998
"2015-01-15",98.559998,99.120003,94.440002,94.540001,807000,94.540001
"2015-01-16",94.099998,95.699997,92.860001,95.470001,709100,95.470001
"2015-01-20",95.639999,96.529999,94.639999,96.18,599000,96.18
"2015-01-21",96.150002,98.620003,95.360001,98.480003,505100,98.480003
"2015-01-22",99.269997,99.580002,97.32,99.580002,607700,99.580002
"2015-01-23",99.220001,99.43,98.150002,98.230003,369600,98.230003
"2015-01-26",98.209999,100.25,98.18,100.150002,356700,100.150002
"2015-01-27",98.800003,99.440002,97.230003,98.510002,444100,98.510002
"2015-01-28",99.489998,99.739998,96.989998,97.25,476100,97.25
"2015-01-29",95.989998,97.43,95.290001,97.330002,637800,97.330002
"2015-01-30",96.910004,97.550003,94.980003,95.169998,659600,95.169998
"2015-02-02",95.400002,98.040001,95.160004,97.900002,491800,97.900002
"2015-02-03",98.959999,100.639999,98.779999,99.660004,432500,99.660004
"2015-02-04",98.959999,100.160004,98.870003,99.290001,384700,99.290001
"2015-02-05",99.779999,100.370003,99.230003,99.709999,308100,99.709999
"2015-02-06",100.050003,100.809998,99.769997,100.410004,445300,100.410004
"2015-02-09",99.870003,100.830002,99.540001,100.370003,446100,100.370003
"2015-02-10",100.489998,101.25,99.379997,101.059998,508500,101.059998
"2015-02-11",100.760002,102.760002,100.5,102.360001,553200,102.360001
"2015-02-12",103.099998,104.110001,102.5,103.059998,798300,103.059998
"2015-02-13",104.220001,110.959999,104.160004,109.540001,1661400,109.540001
"2015-02-17",109.059998,110.550003,108.489998,110.099998,843200,110.099998
"2015-02-18",109.879997,113,109.879997,112.849998,1074600,112.849998
"2015-02-19",112.559998,116.629997,112.199997,116.379997,1637400,116.379997
"2015-02-20",116.080002,118.949997,115.760002,117.769997,931700,117.769997
"2015-02-23",117.370003,119.57,117.370003,119.019997,717200,119.019997
"2015-02-24",118.860001,120.419998,118.540001,118.900002,685300,118.900002
"2015-02-25",118.470001,119.330002,118.25,119.260002,357700,119.260002
"2015-02-26",118.800003,119,116.400002,117.669998,682000,117.669998
"2015-02-27",117.849998,118.610001,116.559998,116.830002,812900,116.830002
"2015-03-02",116.830002,118.959999,116.699997,118.550003,640000,118.550003
"2015-03-03",118.5,118.989998,117.470001,117.57,581600,117.57
"2015-03-04",116.870003,117.480003,116.139999,116.669998,360800,116.669998
"2015-03-05",116.75,117.239998,116.199997,116.589996,455700,116.589996
"2015-03-06",116.120003,116.779999,115.139999,115.519997,327900,115.519997
"2015-03-09",115.910004,116.330002,115.290001,115.489998,414600,115.489998
"2015-03-10",114.669998,115.120003,113.620003,113.870003,653100,113.870003
"2015-03-11",114.330002,115.32,114,115.199997,460500,115.199997
"2015-03-12",116,117.900002,115.599998,117.419998,501600,117.419998
"2015-03-13",116.790001,117.690002,115.699997,116.730003,423400,116.730003
"2015-03-16",117.18,117.900002,116.599998,117.489998,405900,117.489998
"2015-03-17",117.07,117.830002,116.199997,116.300003,353400,116.300003
"2015-03-18",115.860001,118.639999,115.010002,118.260002,437500,118.260002
"2015-03-19",117.699997,117.760002,115.910004,117.050003,301600,117.050003
"2015-03-20",118.260002,119.059998,117.089996,118.800003,396400,118.800003
"2015-03-23",118.800003,119.010002,117.959999,118.150002,390000,118.150002
"2015-03-24",118.800003,119.120003,117.559998,118.580002,313400,118.580002
"2015-03-25",118.550003,118.709999,116.480003,116.720001,395200,116.720001
"2015-03-26",116.349998,117.400002,115.709999,116.830002,438900,116.830002
"2015-03-27",116.839996,119.879997,116.099998,119.739998,525400,119.739998
"2015-03-30",121,122.790001,120.650002,122.379997,530500,122.379997
"2015-03-31",121.910004,123.529999,121.470001,122.879997,735800,122.879997
"2015-04-01",122.879997,122.879997,120.349998,121.220001,455200,121.220001
"2015-04-02",120.519997,122.980003,120.32,121.139999,248000,121.139999
"2015-04-06",121.029999,122.68,120.809998,122.449997,616200,122.449997
"2015-04-07",122.959999,123,121.830002,122.290001,444400,122.290001
"2015-04-08",122.699997,122.760002,120.870003,121.550003,405200,121.550003
"2015-04-09",121.309998,121.589996,120.639999,120.82,332000,120.82
"2015-04-10",120.949997,121.360001,120.760002,121,322700,121
"2015-04-13",121,121.559998,119.43,119.529999,575300,119.529999
"2015-04-14",119.639999,120.029999,118.730003,119.879997,407700,119.879997
"2015-04-15",120.370003,122.650002,118.82,122.57,374000,122.57
"2015-04-16",122.739998,127.760002,122.290001,126.690002,754700,126.690002
"2015-04-17",125.389999,127.07,123.699997,126.57,626100,126.57
"2015-04-20",127.860001,129.520004,127.309998,128.830002,719800,128.830002
"2015-04-21",129.300003,131.380005,128.470001,130.839996,799400,130.839996
"2015-04-22",131.960007,133.309998,130.610001,133.210007,794000,133.210007
"2015-04-23",126.940002,129.320007,122.459999,124.339996,2548600,124.339996
"2015-04-24",123.5,126.120003,123,126.110001,938200,126.110001
"2015-04-27",126.449997,129.369995,125.580002,127.760002,786300,127.760002
"2015-04-28",127.120003,127.400002,125.589996,126,821900,126
"2015-04-29",125.709999,126.279999,124.589996,125.419998,405800,125.419998
"2015-04-30",124.93,126.050003,124.099998,124.449997,511100,124.449997
"2015-05-01",125.330002,126.410004,124.849998,125.919998,332000,125.919998
"2015-05-04",126.150002,127.260002,125.709999,126.470001,227800,126.470001
"2015-05-05",126.239998,127.309998,124.489998,124.910004,367000,124.910004
"2015-05-06",125.599998,126.459999,124.440002,125.940002,294900,125.940002
"2015-05-07",125.760002,126.400002,124.870003,125.269997,528300,125.269997
"2015-05-08",126.910004,127.970001,126.199997,126.809998,381000,126.809998
"2015-05-11",127.190002,127.190002,126.480003,126.489998,350900,126.489998
"2015-05-12",126.080002,127.379997,125.550003,126.980003,469100,126.980003
"2015-05-13",127.690002,131.470001,127.690002,130.779999,593300,130.779999
"2015-05-14",130.179993,131.270004,129.399994,129.979996,523000,129.979996
"2015-05-15",129.910004,130.389999,128.580002,129.220001,426400,129.220001
"2015-05-18",128.940002,130.490005,128.639999,130.360001,387300,130.360001
"2015-05-19",130.220001,130.880005,128.619995,129.25,515600,129.25
"2015-05-20",129.580002,131.449997,129.580002,130.729996,592700,130.729996
"2015-05-21",130.880005,131.979996,130.880005,131.479996,464400,131.479996
"2015-05-22",131.059998,132.270004,130.970001,131.889999,542400,131.889999
"2015-05-26",131.5,131.899994,130.509995,131,961700,131
"2015-05-27",131.660004,133,131,132.229996,708500,132.229996
"2015-05-28",132.399994,133,128.339996,128.449997,922700,128.449997
"2015-05-29",128.070007,128.240005,123.800003,126.419998,2638800,126.419998
"2015-06-01",127.029999,127.199997,125,125.589996,446900,125.589996
"2015-06-02",124.93,125.790001,124.639999,125.199997,409500,125.199997
"2015-06-03",125.800003,126.690002,125.339996,126.029999,438300,126.029999
"2015-06-04",125.580002,126.279999,124.620003,125.169998,332700,125.169998
"2015-06-05",124.910004,126.120003,124.540001,125.540001,281300,125.540001
