"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",86.269997,86.720001,85.550003,85.900002,4501800,79.588287
"2015-01-05",85.720001,86.32,85.510002,85.650002,6979000,79.356651
"2015-01-06",85.980003,86.75,85.790001,86.309998,8205100,79.968155
"2015-01-07",86.779999,88.68,86.669998,88.599998,8498400,82.089905
"2015-01-08",89.209999,90.669998,89.07,90.470001,12713600,83.82251
"2015-01-09",90.32,90.389999,89.25,89.349998,8486300,82.78479
"2015-01-12",89.360001,90.309998,89.220001,90.019997,7372500,83.405556
"2015-01-13",90.800003,90.970001,88.93,89.309998,8215400,82.747734
"2015-01-14",87.650002,88.519997,86.5,86.610001,11954300,80.246132
"2015-01-15",87,87.779999,86.699997,87.379997,9412700,80.959541
"2015-01-16",87.199997,87.459999,86.230003,86.769997,8408900,80.394363
"2015-01-20",86.82,87.699997,85.550003,86.690002,7636600,80.320251
"2015-01-21",86.099998,86.910004,85.709999,86.639999,8173800,80.273911
"2015-01-22",87.230003,88.400002,86.860001,88.300003,7123800,81.811943
"2015-01-23",88.419998,89.260002,87.889999,88.510002,7532300,82.006516
"2015-01-26",88.309998,89.160004,88.120003,88.629997,4666700,82.117691
"2015-01-27",88.279999,88.459999,87.260002,87.529999,6020500,81.098518
"2015-01-28",88.019997,88.230003,86.769997,86.82,5936800,80.440697
"2015-01-29",87.07,87.720001,86.269997,87.720001,6522800,81.274567
"2015-01-30",86.779999,87.360001,84.900002,84.980003,10280200,78.735893
"2015-02-02",84.790001,85.870003,83.93,85.709999,6927200,79.412254
"2015-02-03",85.830002,86.529999,85.660004,86.190002,8241500,79.856987
"2015-02-04",86.110001,87.040001,86,86.650002,8932300,80.283173
"2015-02-05",87.110001,87.360001,86.559998,87.279999,5090800,80.86689
"2015-02-06",87.260002,88,86.779999,87.330002,5550700,80.913223
"2015-02-09",86.970001,87.190002,85.639999,85.910004,5456200,79.597557
"2015-02-10",86.620003,87.410004,86.419998,87.290001,5732100,80.876152
"2015-02-11",86.629997,87.120003,85.919998,86.339996,5853100,79.995964
"2015-02-12",86.559998,86.68,85.230003,85.889999,6941600,79.579018
"2015-02-13",85.839996,86.160004,85.32,85.809998,5597000,79.504898
"2015-02-17",85.43,85.970001,84.970001,85.959999,5087200,79.643875
"2015-02-18",85.959999,86.300003,85.519997,86.290001,5929200,79.949623
"2015-02-19",84.5,84.800003,83.389999,83.519997,18646800,77.383163
"2015-02-20",82.730003,84.379997,82.550003,84.300003,13840400,78.105865
"2015-02-23",84.389999,84.860001,84.230003,84.599998,6730400,78.383797
"2015-02-24",84.519997,84.82,83.919998,84.57,5172300,78.35601
"2015-02-25",84.629997,84.720001,83.519997,83.57,6808400,77.429489
"2015-02-26",83.849998,83.860001,83.269997,83.800003,5888100,77.642601
"2015-02-27",83.720001,84.160004,83.400002,83.93,5877400,77.763046
"2015-03-02",83.93,84,83.199997,83.959999,6061500,77.790833
"2015-03-03",83.660004,83.82,83.169998,83.370003,6460800,77.244171
"2015-03-04",83.209999,83.209999,82.199997,82.580002,6161600,76.512222
"2015-03-05",83.150002,83.870003,82.959999,83.57,5997500,77.429489
"2015-03-06",82.809998,83.099998,82.379997,82.589996,5731000,76.5215
"2015-03-09",82.589996,83.339996,82.540001,82.879997,4671500,76.790192
"2015-03-10",82.269997,82.5,82.07,82.07,6253600,76.039696
"2015-03-11",81.82,81.970001,80.540001,80.690002,6160900,75.210152
"2015-03-12",80.809998,82.120003,80.779999,81.900002,5225800,76.337975
"2015-03-13",81.949997,82.25,81.290001,81.900002,4762200,76.337975
"2015-03-16",82.449997,83.370003,82.440002,83.290001,6519100,77.633583
"2015-03-17",82.980003,83.010002,82.239998,82.620003,4692800,77.009087
"2015-03-18",81.980003,82.959999,81.160004,82.529999,9387100,76.925201
"2015-03-19",82.330002,82.440002,81.370003,81.519997,7212900,75.983788
"2015-03-20",81.830002,83.489998,81.709999,83.239998,12365300,77.586975
"2015-03-23",83.18,83.900002,83.120003,83.309998,6489500,77.652222
"2015-03-24",83.190002,83.709999,82.959999,83.050003,5359100,77.409882
"2015-03-25",83.089996,83.25,81.309998,81.32,6645900,75.797363
"2015-03-26",80.93,82.309998,80.650002,81.889999,8267200,76.328659
"2015-03-27",81.849998,82.18,81.25,81.349998,5210300,75.82534
"2015-03-30",81.699997,82.800003,81.43,82.529999,5701700,76.925201
"2015-03-31",82.389999,83.040001,82.25,82.25,5587700,76.6642
"2015-04-01",82.279999,82.279999,80.43,80.709999,8190900,75.22879
"2015-04-02",80.730003,81.32,80.550003,80.730003,5795700,75.247437
"2015-04-06",80.459999,81.330002,80.150002,80.989998,6380700,75.489769
"2015-04-07",81.089996,81.290001,80.459999,80.5,6606100,75.033043
"2015-04-08",80.389999,81.230003,80.360001,81.029999,6694700,75.527069
"2015-04-09",80.839996,81.389999,80.580002,80.839996,3923600,75.349976
"2015-04-10",80.860001,81,80.550003,80.650002,5480300,75.172867
"2015-04-13",80.400002,80.919998,80.269997,80.290001,4698100,74.837318
"2015-04-14",80.290001,80.419998,79.68,80.150002,5510400,74.706818
"2015-04-15",80.580002,80.980003,79.650002,79.739998,6200400,74.324669
"2015-04-16",79.5,79.889999,79.129997,79.239998,8015100,73.85862
"2015-04-17",78.940002,79.150002,77.550003,77.879997,11822800,72.590965
"2015-04-20",78.389999,78.830002,78.019997,78.139999,8846000,72.833328
"2015-04-21",78.610001,78.839996,77.910004,78.029999,6200200,72.730804
"2015-04-22",77.730003,78.639999,77.550003,78.43,7594700,73.10363
"2015-04-23",78.379997,79.540001,78.199997,79.18,7468900,73.802696
"2015-04-24",79.379997,80.93,79.239998,79.839996,6867800,74.417877
"2015-04-27",79.769997,79.860001,79.290001,79.370003,6449800,73.979797
"2015-04-28",79.459999,79.480003,78.769997,79.099998,4895900,73.728127
"2015-04-29",78.699997,78.790001,77.790001,77.879997,7108400,72.590965
"2015-04-30",77.830002,78.480003,77.589996,78.050003,8795900,72.749443
"2015-05-01",78.199997,78.760002,78.169998,78.599998,4999700,73.262085
"2015-05-04",78.980003,79.550003,78.459999,79.18,6669200,73.802696
"2015-05-05",79.010002,79.010002,78.059998,78.129997,5855400,72.824013
"2015-05-06",77.919998,78.120003,77.169998,77.650002,5480100,72.833389
