Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,26.120001,28.0,25.84,27.559999,27.062859,64447600
2017-01-04,28.16,28.799999,27.799999,28.6,28.084099,30748400
2017-01-05,28.639999,28.92,27.799999,28.48,27.966263,28241100
2017-01-06,28.559999,28.6,27.879999,28.040001,27.534203,24684500
2017-01-09,28.280001,28.48,27.84,27.879999,27.377087,15209000
2017-01-10,28.440001,28.559999,28.040001,28.120001,27.612759,18189100
2017-01-11,28.280001,28.32,27.639999,28.0,27.494923,16550600
2017-01-12,28.08,28.16,27.32,27.76,27.259251,14920700
2017-01-13,28.0,28.32,27.92,28.200001,27.691315,10081300
2017-01-17,28.16,28.200001,27.52,27.719999,27.219973,10552200
2017-01-18,27.76,28.16,27.719999,28.08,27.573479,11953500
2017-01-19,28.040001,28.040001,27.639999,27.76,27.259251,7885800
2017-01-20,27.799999,27.92,27.559999,27.76,27.259251,8412000
2017-01-23,27.719999,27.959999,27.440001,27.559999,27.062859,9483200
2017-01-24,27.639999,27.84,27.48,27.76,27.259251,12150900
2017-01-25,27.879999,28.120001,27.639999,28.0,27.494923,13287200
2017-01-26,28.08,28.24,27.559999,27.84,27.337809,9138600
2017-01-27,27.879999,27.92,27.639999,27.92,27.416365,7658900
2017-01-30,27.879999,27.879999,27.4,27.799999,27.298529,10662800
2017-01-31,27.76,28.200001,26.48,27.719999,27.219973,37906100
2017-02-01,28.120001,28.32,27.68,28.280001,27.769871,18378100
2017-02-02,28.040001,29.08,27.959999,28.68,28.162655,11247500
2017-02-03,28.799999,29.0,28.559999,28.6,28.084099,8175800
2017-02-06,28.4,28.68,28.24,28.280001,27.769871,7316700
2017-02-07,28.32,28.559999,28.16,28.280001,27.769871,11205800
2017-02-08,28.360001,29.559999,28.32,29.440001,28.908947,17710400
2017-02-09,29.440001,29.6,28.959999,29.040001,28.516163,8524200
2017-02-10,29.24,29.719999,29.040001,29.200001,28.673275,7117600
2017-02-13,29.32,29.48,29.040001,29.040001,28.516163,10669000
2017-02-14,29.0,29.959999,29.0,29.92,29.380289,9653100
2017-02-15,29.92,29.959999,29.6,29.879999,29.341007,10842200
