,Alpha_Three_Factor,Sector
HES,-0.00905493237242,xlb
PXD,-0.00885554765976,xlb
IPG,-0.00815426571511,xlb
NEU,-0.00801100092415,xlb
PPL,-0.00756000569473,xlb
ECL,-0.00737001921201,xlb
BLL,-0.00733327601267,xlb
IGT,-0.00721737313472,xlb
FNB,-0.0071602145502,xlb
MMC,-0.00690373338776,xlb
APD,-0.00683245072155,xlb
WSO,-0.00681721001611,xlb
MPC,-0.00680132518975,xlb
SIRI,-0.00668945095536,xlb
MORN,-0.00666220934651,xlb
FDC,-0.00657761648897,xlb
DWDP,-0.00634556796125,xlb
PKI,-0.00623010646535,xlb
SERV,-0.00616544570573,xlb
EMN,-0.00615626191266,xlb
CF,-0.00615497100419,xlb
LYV,-0.00575170889558,xlb
VMW,-0.00572018577252,xlb
NUS,-0.00557694762493,xlb
ALB,-0.00533391728874,xlb
AVY,-0.00511820200559,xlb
